9821,Floyd,Joanna,Miss,F,6817 Branch Way,Woodway,TX,76712,2548454609,joanna3@saturn.com
3179,Blair,Kasey,Mrs,F,7409 Quail Place,Waco,TX,76710,5123879361,kasey2@earth.edu
9016,Dominguez,Gaige,Mr,M,8001 Stony Ridge,Bruceville,TX,76630,2548625180,gdominguez@uranus.edu
2124,Jones,Bea,Miss,F,522 Log Knoll,Hewitt,TX,76643,2546748270,
2024,Head,Travis,Mr,M,3235 Rustic Falls,North Bellmore,NY,11710,2545227642,
1142,Franks,Jenny,Miss,F,8867 Crystal Corner,Waco,TX,76799,5124975540,jfranks@jupiter.edu
2381,Wall,Jaxson,Dr,M,3773 Hazy Isle,Elm Mott,TX,76640,2549172457,j-wall@neptune.edu
3364,Thomas,Anne,Mrs,F,8182 Embers Dale,Waco,TX,76701,5125674779,t-thomas@earth.gov
3860,George,Raelyn,Miss,F,364 Bluff Chase,Waco,TX,76703,5122728807,rgeorge@earth.com
8463,Parker,Jeremy,Mr,M,6699 Nectar Bank,Indialantic,FL,32903,8208983648,parker3855@jupiter.gov
9747,Thomas,Quinn,Mrs,F,6202 Berry Meadow,Bruceville,TX,76630,,quinn3@mercury.edu
4872,Rodgers,Camryn,Mrs,F,8708 Goose Vista,Waco,TX,76707,5129813167,
4494,Snyder,Brynlee,Miss,F,8288 Barn Point,Waco,TX,76798,8202593551,brynlee2@uranus.com
8466,Stephenson,Rylan,Mrs,F,8140 Dewy Arbor,Waco,TX,76707,5128698015,rstephenson@uranus.com
1865,Clements,Alessandra,Mrs,F,439 Timber Crest,Wisdom,MT,59761,5125977725,alessandra2@mars.edu
7976,Pittman,Jeremiah,Mr,M,2378 Green Pike,Palmyra,NY,14522,2544419057,jpittman@jupiter.com
4679,Arnold,Allyson,Mrs,F,2458 Butterfly Farms,Waco,TX,76705,8206519551,
4694,Peterson,Presley,Miss,F,2866 Fallen Court,Waco,TX,76703,2544928756,p-peterson@earth.com
6419,Bell,Mark,Mr,M,939 Dale Valley,Ross,TX,76684,5126836724,mark1@uranus.com
9617,Cummings,Jayni,Mrs,F,4428 Honey Jetty,Waco,TX,76705,5128976809,
7178,Ellis,Lucas,Mr,M,417 Brook Stead,Waco,TX,76799,,lellis@earth.edu
7111,Colon,Colton,Mr,M,2081 Hills Bend,Waco,TX,76706,2547683181,c-colon@neptune.gov
5472,Buckner,Yareli,Dr,F,5289 Old Manor,Mc Gregor,TX,76657,8202517916,y-buckner@saturn.edu
4923,Caldwell,Cooper,Mr,M,6235 Dusty Pike,Ross,TX,76684,,cooper3@earth.com
8517,Benton,Jaidyn,Mrs,F,418 Quail Dr,Moody,TX,76557,,j-benton@venus.com
2077,Benton,Irvin,Mr,M,3294 Prairie Cove,Waco,TX,76710,2547825470,i-benton@uranus.gov
5473,Downs,Nadia,Mrs,F,2487 Island Woods,Waco,TX,76702,2543258853,nadia1@earth.edu
1673,Crawford,Nico,Dr,M,1240 Old Rd,Niagara Falls,NY,14305,8209646314,n-crawford@mercury.edu
4241,Simpson,Ethan,Mr,M,7313 Wishing Trace,Waco,TX,76715,5128561176,esimpson@jupiter.com
2348,McCoy,Carla,Miss,F,5965 Beacon Lane,Eddy,TX,76524,8209193959,
3319,Logan,Janiyah,Miss,F,4184 Bright Glen,China Spring,TX,76633,,jlogan@earth.edu
2835,Stokes,Megan,Miss,F,6260 River Falls,Waco,TX,76710,5129253960,
